token,coordinates_lat,coordinates_lon,address,comment,explanation,time,status,group,categorie,approved,cityname
FDBBB888,48.4034953425856,-4.4803062826395035,"Rue Danielle Casanova, Brest",Aménagements prévus ? ,"La rue Danielle Casanova est en travaux. Il faut que des aménagements cyclables soient mis en place à la fin des travaux. A vérifier une fois les travaux terminés dans quelques semaines. Il faudra ajouter deux bandes cyclables. Rappelons que l'article L228 du code de l'environnement indique que la voirie doit disposer d'aménagements cyclables. Cela peut être considéré comme un doublon, mais il faudra s'assurer de la continuité de la piste cyclable au niveau du rond-point, et bien sûr ne pas oublier d'aménager le haut de la rue pour les cyclistes. ",1658241300,0,0,8,1,Brest
3F1B6A05,48.39223071204691,-4.486324489116669,"Kerabecam, Brest",Pas de bande cyclable. ,"Il n'y a pas de piste cyclable dans le sens de la montée et de la descente. Il s'agit d'une rue assez fréquentée pour rejoindre le centre-ville de Brest. Suggestion : Pour qu'il y ait suffisamment d'espace pour les infrastructures cyclables, on peut supprimer les places de parking situées le long de l'hôpital, et le long de la barre d'immeuble. Ne pas oublier de laisser quelques places pour les personnes à mobilité réduite.",1658072340,0,0,8,1,Brest
071C3592,48.388544673146974,-4.484224319458008,"Rue du Château, Brest",Absence de bande cyclable.,"Le haut de la rue du château vient de faire l'objet de travaux de voirie pour le réseau de chauffage. L'article L228-2 du code de l'environnement impose la mise en place d'aménagements cyclables à cet endroit. Ici, il manque notamment une bande cyclable dans le sens de la descente et de la montée de la rue. ",1658054400,0,0,8,1,Brest
A0CEAAB5,48.36319626174248,-4.5307958498597145,"Route De Sainte Anne Du Portzic , Brest",Absence de piste cyclable,L'absence d'aménagement rend cette route dangereuse aux piétons et cyclistes. Les limitations de vitesse ne sont pas respectées. Le virage à droite dans la côte est particulièrement dangereux. Problème toujours d'actualité en juillet 2022. ,1658011020,0,0,8,1,Brest
9ECC107C,48.38445690091832,-4.4836315512657166,"avenue salaün penquer, Brest",Absence de piste/bande cyclable.,"Il y a une bande cyclable dans le sens de la montée, mais pas dans le sens de la descente de l'avenue Salaün Penquer. Il s'agit d'une avenue où lors de la descente la vitesse s'accroît, et les cyclistes se sentiraient en sécurité avec un marquage au sol. Il y a largement la place pour un marquage au sol ; comme une bande cyclable. ",1657835760,0,0,8,1,Brest
F0F1DD6E,48.3891251150802,-4.4836509972810745,"Rue Yves Collet, Brest",Manque de bande cyclable.,"Le bas de la rue Yves Collet vient d'être refait pour le réseau de chauffage. L'article L228-2 du code de l'environnement impose la mise en place d'aménagements cyclables à cet endroit. Ici, il manque notamment une bande cyclable dans le sens de la descente de la rue. ",1657296480,0,0,8,1,Brest
F7ECD572,48.3914,-4.48093,"rue yves collet, Brest",Pas de piste cyclable.,Il n'y a pas d'amenagement mis en place pour la sécurité des cyclistes dans le sens de la descente de la rue Yves Collet. ,1657124880,0,0,8,1,Brest
2C683F2A,48.38822138616174,-4.482874497771263,"boulevard gambetta, Brest",Pas de bande cyclable,"Le matin, il y a régulièrement une file de 15 à 20 voitures qui s'accumulent boulevard Gambetta, avant le rond-point situé à l'intersection avec l'avenue Georges Clémenceau. La portion du Boulevard Gambetta, comprenant les 100 derniers mètres avant le rond-point est beaucoup plus large. Un tracé de bande cyclable permettrait aux vélos de ne pas rester bloqués derrière la file de voitures. En effet, la file est à l'arrêt lorsque le feu est au rouge, mais les cyclistes disposent d'un cédez-le-passage vélo. Il y a de l'espace pour une bande/piste cyclable. ",1656869940,0,0,8,1,Brest
BDE7AC44,48.457684404273834,-4.475775193423034,"Route de Bourg-Blanc, Gouesnou",Aménagement mobilité douces,"Cette portion s'étale sur un peu moins de 200 m et dispose d'un accotement assez généreux qui pourrait se doter d'un aménagement
pour les mobilités douces",1656261000,0,0,8,1,Gouesnou
B4EFFD2E,48.39975669585869,-4.4806187599897385,"Rue Saint-Pol-Roux, Brest",Pas de bande cyclable. ,La rue Saint-Pol-Roux est suffisamment large pour accueillir une bande cyclable à gauche et à droite. ,1656258780,0,0,8,1,Brest
5D01F7F3,48.40592,-4.49668,"rue cuirassée Bretagne, Brest",ajouter bande/piste cyclable de chaque côté.,"Cette route fait en effet partie d'un itinéraire cyclable, fléché à l'aide des panneaux verts ""itinéraire vélo"". Sur la portion de route allant du rond-point de Poulcanastroc jusqu'à La rue Maurice Le Flem, il y a suffisamment d'espace pour inclure une piste cyclable de chaque côté de la rue du Cuirassée Bretagne. De nombreux cyclistes s'y font dépasser de près en raison de l'absence d'aménagement. ",1655998080,0,0,8,1,Brest
A23C308D,48.3962633192363,-4.475417286157608,"Yves Collet, Brest",Carrefour dangereux - absence d'aménagement ,"Le carrefour des rues Yves Collet, Kerivin, Saint Marc et Richelieu est dangereux pour la circulation des vélos. 
Dans le sens Yves Collet vers Strasbourg, le sas vélo au feu est peu respecté (voir photo). De plus, la rue Kerivin étant un peu de biais par rapport à l'axe de la rue Yves Collet, les voitures qui veulent emprunter la rue Kerivin ont tendance à se rapprocher du trottoir pour suivre la trajectoire ""logique"" ce qui a pour effet de coincer les vélos contre le trottoir avec risque de chute. Une matérialisation en dur de la fin de la piste cyclable permettrait d'éviter cela.
Dans le sens de la rue St Marc, en descente, la piste cyclable qui permet de remonter le sens interdit (côté chamade) se termine de manière brutale sans aménagement pour permettre aux cyclistes de s'insérer sans risque.",1631533074,0,0,8,1,Brest
6B36F172,48.37977645614268,-4.54059261828661,"Rue Du Conquet, Brest","Rue neuve. Voie vélo❌, trottoir ❌, voiture✔",Où est l'espace réservé aux humains ? ,1602343200,0,0,8,1,Brest
6FF86AF6,48.38163496867538,-4.506762586534023,"Rue Béranger , Brest","absence d'aménagement, d'arceau",,1600699140,0,0,8,1,Brest
F9482818,48.38038037995061,-4.526418820023537,"Rue Georges Bernanos, Brest",absence de piste cyclable ,,1598886360,0,0,8,1,Brest
646DFA8B,48.38566,-4.46834,"Rue de Kiel, Brest",c'est très dangereux sans piste cyclable ,,1598454120,0,0,8,1,Brest
BE6936C8,48.362765888354836,-4.530989304184914,"Route de la Corniche, Brest","passage dangereux, route trop étroite dans un vir",,1597759860,0,0,8,1,Brest
BBEDD042,48.40384,-4.54551,"Route de Pont-Cabioc'h, Guilers",il manque 5 mètres d'aménagement ,,1592494200,0,0,8,1,Guilers
B0A175AD,48.38154923720333,-4.506894014775753,"Rue Béranger, Brest",Impasse saturée d'automobiles aux heures d'éco,impasse saturée par le stationnement automobile à l'heure des sorties d'école ,1592317800,0,0,8,1,Brest
579779CA,48.39173049864173,-4.495821689919118,"Rue du Petit Moulin, Brest",Manque ,On est en zone 30,1584026460,0,0,8,1,Brest
FF083829,48.38989239259237,-4.4921899578472635,"Rue Keravel, Brest",Manque ,En zone 30 tous les sens uniques sont des DSC sauf si un arrêté municipal JUSTIFIE le contraire pour UNE voie.,1584026040,0,0,8,1,Brest
D8955009,48.36856069895203,-4.588197134435176,"Route du Dellec, Plouzané","arrivée au feu, plus de piste cyclable...",,1583662380,0,0,8,1,Plouzané
3794888B,48.362559610794015,-4.58369504660368,"Route de Mescleuziou, Plouzané",pas de piste cyclable en allant vers le technopole,,1583662140,0,0,8,1,Plouzané
4222FB77,48.360627333123546,-4.5791664719581595,"Avenue du Technopôle, Plouzané","4500 personnes au technopole, et une piste cyclabl",,1583662020,0,0,8,1,Plouzané
018175A9,48.40776631445894,-4.45489939302206,"Chemin de Penhelen, Brest",il manque un DSC,voie à priorité pieton limitée à 20 km/h ,1582301580,0,0,8,1,Brest
984C01EF,48.39414620692015,-4.4934356957674035,"Rue Lamotte-Picquet, Brest",pas de voie cyclable,,1579349940,0,0,8,1,Brest
86897EFA,48.38683759669077,-4.490625075995922,"Rue de Siam, Brest",Pas de passage piéton,,1578936900,1,0,8,1,Brest
E23E2013,48.38999641120781,-4.49320289298625,"Rue du Deuxième R.I.C., Brest",Manque ,En zone 30 il faut un arrêté municipal justificatif pour que les sens interdits ne comportent pas un double sens cyclable !,1578845820,1,0,8,1,Brest
CC0EF1B2,48.39815217210629,-4.4819823279976845,"Rue Bugeaud, Brest",zéro passage piéton sur tout le croisement,ce problème est toujours d'actualité au 07/2022. ,1578738600,0,0,8,1,Brest
6A0ED5AB,48.42300338701629,-4.476232633005567,"Rue Général Paulet, Brest",Dépassements dangereux fréquents,,1578334020,0,0,8,1,Brest
89679FDD,48.40384301653306,-4.419042617082596,"Rue Mirabeau, Le Relecq-Kerhuon",absence de passage piéton ,"entre la rue André chenier  et la rue pen  ar streat,  il n'y a pas de passage piéton pour traverser la rue mirabeau.  cette rue est la plus passante du relecq kerhuon,  ce itinéraire traversant est notamment  utilisé  en semaine par des enfants allant à l'école  et le week enfants par des promeneurs  et des enfants. la zone 30 s'arrête juste avant cet endroit,  et les voitures  prennent  de la vitesse ds la descente  pour essayer d'attraper le feu vert. Il y a eu des lettres,  des pétitions, sans succès.  faudra-t-il  un accident... ? ",1578310020,0,0,8,1,Le Relecq-Kerhuon
AD612342,48.404903162559975,-4.4847627729177475,"Boulevard Léon Blum, Brest",Pas de piste cyclable sur ce boulevard très empru,,1577456991,0,0,8,1,Brest
112F3601,48.391026923315565,-4.488862864673138,"Rue Duquesne, Brest",Zéro aménagement,"L'absence d'aménagement fait qu'il devient très difficile d'emprunter cette voie, qui est pourtant une voie de passage. Seuls les cyclistes experts s'y risquent. Un cycliste novice ou débutant trouverait cela trop dangereux, et sans doute rédhibitoire. Problème toujours d'actualité au 07/2022. ",1576773960,0,0,8,1,Brest
E301C1C3,48.39860695555104,-4.4880927354097375,"Rue Paul Doumer, Brest",zéro aménagement,,1576773720,0,0,8,1,Brest
427B5A63,48.41732527867832,-4.467902988217248,"Rue de Gouesnou, Brest",Il manque une piste cyclable,La circulation sur la route est dangereuse à cet endroit à cause de la vitesse des véhicules. Les cyclistes n'ont d'autre choix que d'emprunter le trottoir.,1575895980,0,0,8,1,Brest
21ADA203,48.40635888531449,-4.461419999643113,"Rue de Paris, Brest",Dépassements dangereux fréquents,"Les véhicules qui remontent la rue de Paris sont souvent en excès de vitesse, et frôlent les cyclistes.",1575741120,0,0,8,1,Brest
A205347E,48.41705540231656,-4.4763008952577374,"Rue Général Paulet, Brest",Dépassements dangereux fréquents,"À cet endroit, il manque vraiment un aménagement. Les automobilistes rasent les cyclistes, ou manquent de se prendre le véhicule qui arrive en face...",1575569700,0,0,8,1,Brest
4B2E2CAB,48.39148,-4.48063,"collet, Brest",,,1575018960,0,0,8,1,Brest
CC222F6F,48.41441655564519,-4.439429081976414,"Boulevard de Coataudon, Guipavas",insertion dangereuse fans le trafic,,1565881920,0,0,8,1,Guipavas
4ACB5291,48.370208474329836,-4.589164741337299,"Avenue du Général de Gaulle, Plouzané",manque une piste cyclable ,,1564379040,0,0,8,1,Plouzané
9F74E49B,48.39185802370226,-4.435343071818352,"Rue Eugène Berest, Brest","nouveau revêtement, zéro aménagement",,1564036860,0,0,8,1,Brest
